Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,2,100nF,
"C103, C104",CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,2,4.7uF,
D101,D_5W_P12.70mm_Horizontal,1,1V0,
J101,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,EXT_3V3,
LS101,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
Q101,vishay_IRLD024PBF,1,IRLD024PBF,
R101,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,10k,
SW101,SW_PUSH_6mm,1,UP,
SW102,SW_PUSH_6mm,1,DOWN,
SW103,SW_PUSH_6mm,1,LEFT,
SW104,SW_PUSH_6mm,1,RIGHT,
SW105,SW_PUSH_6mm,1,MODE,
U101,ti_EKTM4C123GXL,1,EK-TM4C123GXL,
U102,ai_thinker_ESP8266_01,1,ESP8266-01/ESP-01,
U103,adafruit_st7735r,1,Adafruit ST7735R,
